"rep","estimate","se"
112,0.709442641950773,0.119475037365687
113,0.754936356946196,0.113909270404791
114,0.618547709151812,0.142804948588308
115,0.789991941998468,0.142083148640224
116,0.391187467717961,0.0814308444751415
117,0.581443074413274,0.0957339402342072
118,0.687469038108254,0.158975087963474
119,0.62005187733763,0.112950044100821
120,0.528460839268139,0.102680657444748
121,0.552884554755942,0.085546615514902
122,0.597162165976414,0.10745868538399
123,0.582597206383256,0.104461140555932
124,0.737715054363874,0.117458500354634
125,0.678964039989683,0.144567255576871
126,0.597946441208144,0.117906055224486
127,0.651582801335091,0.101356499516126
128,0.560673310616689,0.101446280283152
129,0.648825529377925,0.154805719734866
130,0.582143449824158,0.0919075329706064
131,0.738446339282913,0.147558573369431
132,0.709486224148783,0.0958240892614391
133,0.6055537023953,0.100376137287662
134,0.523479572802051,0.0819409776404969
135,0.594683830833432,0.0967859301394945
136,0.542190789751366,0.126573539038863
137,0.595028821580256,0.129701167491733
138,0.376561626607974,0.0801251736414477
139,0.61357958098591,0.131161181385209
140,0.634633912120677,0.132723795293282
141,0.447701122362476,0.0851813475186719
142,0.600767059306666,0.108114207031898
143,0.486634381697312,0.0691554676677845
144,0.68996746482228,0.158891874010096
145,0.601724315985914,0.0908693172098583
146,0.737109310817291,0.100986754673848
147,0.588202592495461,0.0984260471027464
148,0.327044163661776,0.0795214440651455
149,0.645425272111831,0.104697192527284
150,0.859619826290487,0.15078059460887
151,0.462351678280489,0.116729816729841
152,0.651271316630179,0.148171641098748
153,0.546574797121488,0.0941211875091613
154,0.634665800275945,0.10846254378322
155,0.517078768292719,0.102127966542169
156,0.727564051165873,0.13999678887663
157,0.597724588952284,0.0939618760410056
158,0.716529651262667,0.0998846412078479
159,0.562264884893045,0.151417265277834
160,0.638180213780364,0.11678051354367
161,0.617893882818701,0.109149894044222
162,0.810263573571897,0.137862555699774
163,0.656457290016344,0.108941745381058
164,0.797163891502147,0.128536970264675
165,0.544412531986499,0.186477571566062
166,0.732094283767196,0.122332165227309
167,0.576471476174966,0.0970543386499585
168,0.648460058241696,0.133572931738993
169,0.639459320484005,0.152851995852636
170,0.897011839633096,0.152673823807392
171,0.537702039037254,0.0982208327106795
172,0.529826908603274,0.0917715386675759
173,0.677849483551044,0.11964351931862
174,0.638590509579661,0.110691267796901
175,0.582387302831031,0.0923896090965913
176,0.780156485753218,0.135682766757641
177,0.54470852272702,0.08508097824658
